date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:41	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1686952519-ssl-df	https://goachat.netlify.app/robots.txt		(from )
22:09:41	5228/5228	---MCZ	200	added ('OK')	text/html	etag:%2270229faeb7aa41f8cb9efe6195f20408-ssl-df%22	https://goachat.netlify.app/	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/index.html	(from )
22:09:42	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1686952519-ssl-df	https://goachat.netlify.app/backblue.gif	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/backblue.0.delayed	(from https://goachat.netlify.app/)
22:09:42	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1686952519-ssl-df	https://goachat.netlify.app/fade.gif	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/fade.1.delayed	(from https://goachat.netlify.app/)
22:09:43	1262/1262	---M-Z	200	added ('OK')	text/html	etag:%22755946300b2908aec51095105b0f98e8-ssl-df%22	https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.html	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/rhymbil-memechat.netlify.app/index.html	(from https://goachat.netlify.app/)
22:09:43	4543/4543	---MCZ	200	added ('OK')	text/html	etag:%22f2adb5547d87825455aabe4a144299b3-ssl-df%22	https://goachat.netlify.app/kit.fontawesome.com/a076d05399.html	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/kit.fontawesome.com/a076d05399.html	(from https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.html)
22:09:44	19969/19969	---MCZ	200	added ('OK')	application/javascript	etag:%2242ccfd02ad19e469b6bf88a65cecf506-ssl-df%22	https://goachat.netlify.app/www.gstatic.com/firebasejs/8.2.1/firebase-app.js	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/www.gstatic.com/firebasejs/8.2.1/firebase-app.js	(from https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.html)
22:09:45	192454/192454	---MCZ	200	added ('OK')	application/javascript	etag:%22b7d3ce298c3cdf32f046165c556a7cea-ssl-df%22	https://goachat.netlify.app/www.gstatic.com/firebasejs/8.2.1/firebase-database.js	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/www.gstatic.com/firebasejs/8.2.1/firebase-database.js	(from https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.html)
22:09:45	5029/5029	---MCZ	200	added ('OK')	text/css	etag:%22c690f214b7b1e3fda96ac3f722e9a7c4-ssl-df%22	https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.css	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/rhymbil-memechat.netlify.app/index.css	(from https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.html)
22:09:46	13600/13600	---MCZ	200	added ('OK')	application/javascript	etag:%22ec9e3ededa8c5f0ce0b9b704e56145e7-ssl-df%22	https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.js	C:/Users/Ratiela/Desktop/Websites/goawebsite/goachat.netlify.app/rhymbil-memechat.netlify.app/index.js	(from https://goachat.netlify.app/rhymbil-memechat.netlify.app/index.html)
